"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_hr","pct_area_cond_precip"
2025-11-07,2025-11-16,"Alerta media",40.7,75.3,0,55.4
2025-11-17,2025-11-26,"Normal",14.5,70.7,0,59.7
2025-11-17,2025-11-26,"Alerta baja",40.6,70.7,0,59.7
2025-11-17,2025-11-26,"Alerta media",44.9,70.7,0,59.7
2025-11-27,2025-12-06,"Normal",10.8,75.6,0,79.4
2025-11-27,2025-12-06,"Alerta baja",23.4,75.6,0,79.4
2025-11-27,2025-12-06,"Alerta media",65.8,75.6,0,79.4
2025-12-07,2025-12-16,"Normal",4.4,81.5,0.1,78
2025-12-07,2025-12-16,"Alerta baja",31.6,81.5,0.1,78
2025-12-07,2025-12-16,"Alerta media",64,81.5,0.1,78
2025-12-17,2025-12-26,"Normal",3.5,78.8,0,75.1
2025-12-17,2025-12-26,"Alerta baja",39.1,78.8,0,75.1
2025-12-17,2025-12-26,"Alerta media",57.5,78.8,0,75.1
2025-12-27,2025-12-31,"Normal",15.7,80.2,0.2,11.5
2025-12-27,2025-12-31,"Alerta baja",76.8,80.2,0.2,11.5
2025-12-27,2025-12-31,"Alerta media",7.6,80.2,0.2,11.5
