"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_hr","pct_area_cond_lluvia"
2025-10-18,2025-10-27,"Alerta media",60.2,66.9,0,88.3
2025-10-28,2025-11-06,"Normal",25.7,63.5,0,54.9
2025-10-28,2025-11-06,"Alerta baja",30.2,63.5,0,54.9
2025-10-28,2025-11-06,"Alerta media",44.1,63.5,0,54.9
2025-11-07,2025-11-16,"Alerta baja",29.3,70.7,0,100
2025-11-07,2025-11-16,"Alerta media",70.7,70.7,0,100
2025-11-17,2025-11-26,"Normal",18.5,64.4,0,71
2025-11-17,2025-11-26,"Alerta baja",27.5,64.4,0,71
2025-11-17,2025-11-26,"Alerta media",54,64.4,0,71
2025-11-27,2025-12-06,"Alerta baja",25.2,74.8,0,100
2025-11-27,2025-12-06,"Alerta media",74.8,74.8,0,100
2025-12-07,2025-12-16,"Normal",0.1,75.6,0.5,99.9
2025-12-07,2025-12-16,"Alerta baja",24.3,75.6,0.5,99.9
2025-12-07,2025-12-16,"Alerta media",75.1,75.6,0.5,99.9
2025-12-07,2025-12-16,"Alerta alta",0.5,75.6,0.5,99.9
2025-12-17,2025-12-26,"Alerta baja",24.6,75.4,0,100
2025-12-17,2025-12-26,"Alerta media",75.4,75.4,0,100
2025-12-27,2025-12-31,"Alerta baja",28.5,71.5,0,100
2025-12-27,2025-12-31,"Alerta media",71.5,71.5,0,100
