"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_secos","pct_area_cond_hr"
2025-09-18,2025-09-27,"Alerta baja",47.4,0.3,50.5,70.4
2025-09-18,2025-09-27,"Alerta media",36.7,0.3,50.5,70.4
2025-09-18,2025-09-27,"Alerta alta",0.1,0.3,50.5,70.4
2025-09-28,2025-10-07,"Normal",50.5,0,34.4,42.8
2025-09-28,2025-10-07,"Alerta baja",21.7,0,34.4,42.8
2025-09-28,2025-10-07,"Alerta media",27.8,0,34.4,42.8
2025-10-08,2025-10-17,"Normal",34.9,0,23.8,63.7
2025-10-08,2025-10-17,"Alerta baja",42.6,0,23.8,63.7
2025-10-08,2025-10-17,"Alerta media",22.5,0,23.8,63.7
2025-10-18,2025-10-27,"Normal",54.3,0,27.9,43.6
2025-10-18,2025-10-27,"Alerta baja",19.9,0,27.9,43.6
2025-10-18,2025-10-27,"Alerta media",25.8,0,27.9,43.6
2025-10-28,2025-11-06,"Normal",44.6,0,46.4,41.5
2025-10-28,2025-11-06,"Alerta baja",23,0,46.4,41.5
2025-10-28,2025-11-06,"Alerta media",32.5,0,46.4,41.5
2025-11-07,2025-11-16,"Normal",63.6,0,9.8,36.2
2025-11-07,2025-11-16,"Alerta baja",26.8,0,9.8,36.2
2025-11-07,2025-11-16,"Alerta media",9.6,0,9.8,36.2
2025-11-17,2025-11-26,"Normal",59.7,0,18.6,38.3
2025-11-17,2025-11-26,"Alerta baja",23.6,0,18.6,38.3
2025-11-17,2025-11-26,"Alerta media",16.6,0,18.6,38.3
2025-11-17,2025-11-26,"Alerta alta",0,0,18.6,38.3
2025-11-27,2025-12-06,"Normal",72.4,0.7,0,26.8
2025-11-27,2025-12-06,"Alerta baja",26.8,0.7,0,26.8
2025-11-27,2025-12-06,"Alerta media",0.7,0.7,0,26.8
2025-12-07,2025-12-16,"Normal",64,0.1,12.9,34.3
2025-12-07,2025-12-16,"Alerta baja",24.7,0.1,12.9,34.3
2025-12-07,2025-12-16,"Alerta media",11.3,0.1,12.9,34.3
2025-12-17,2025-12-26,"Normal",72.6,0.2,0,27.2
2025-12-17,2025-12-26,"Alerta baja",27.1,0.2,0,27.2
2025-12-17,2025-12-26,"Alerta media",0.2,0.2,0,27.2
2025-12-27,2025-12-31,"Normal",93.1,0.2,0.1,6.5
2025-12-27,2025-12-31,"Alerta baja",6.6,0.2,0.1,6.5
2025-12-27,2025-12-31,"Alerta media",0.2,0.2,0.1,6.5
